UPC,Winery,Wine,Varietal,Region,Year,Price,Quantity,Rating,URL,Notes,Size
086024006204,Chateau Palmer,Alter Ego de Palmer,Bordeaux,Margaux,1998,46.99,,,,,750ml
086024007416,La Chablisienne,Premier Cru,Chablis,Burgundy,1999,14.99,,92 WS,,"Costco; Spectator Selection; Amazing. This is a beautiful Chablis, tightly structured and very refined, expanding its mineral base to encompass some vanilla, ripe fruit, honey and slightly spicy oak. Medium-bodied and very long on the finish, it just keeps riding into the sunset. 16,000 cases",750ml
086024007584,Vaillon,La Chablisienne,Chardonnay,Burgundy,2002,$24,,91 WS,,,750ml
086024007607,La Chablisienne,Premier Cru Grand Cuvée ,Chablis,Chablis,2002,22,,91 WS,,"Very refined, with a lemony cast to this firmly structured, minerally white. It's concentrated, elegant and beautifully balanced. It requires time, however, to integrate all its components.  7,500 cases made",750ml
086024038953,Chateau Palmer,Egri Bikaver Bulls Blood,Red Wine,Margaux,2002,8,,,,,750ml
086024041403,Chateau Palmer,Weber Riesling,Riesling,,,,,,,,
086024041519,Weber Piesporter Mich,,Riesling,Germany,2001,6,,,,,750ml
086024041755,Weber,Zeller Schwarze Katz,White Wine,Germany,2003,,,,,,
086024042011,Chateau Palmer,Riesling,Riesling,,,,,,,,
086039014003,Audubon Cellars ,Cabernet Sauvignon,Cabernet Sauvignon,Napa,1994,,,,,,750ml
086039080008,Audubon Cellars,Audubon Rouge ,Red Wine,Napa,,,,,,,750ml
086039641056,Clayton,Estate Vineyard Old Vine,Zinfandel,Sonoma,2001,,,,,,750ml
086067000115,Vin Ordinaire,Cheap Red Winw,Red Wine,California,2:00pm,6,,,,,750ml
086080001311,The Monterey Vineyard,Monterey County,Cabernet Sauvignon,Bay Area/Central Coast,2000,,,,,13.0% alc;,750ml
086080001618,The Monterey Vineyard,Monterey County,Pinot Noir,Bay Area/Central Coast,2001,,,,,,750ml
086080001625,The Monterey Vineyard,Monterey County,Pinot Noir,Bay Area/Central Coast,2001,,,,,13.5 % alc;,1.5l
086095070708,"Nova Wines, Inc.",Marilyn Merlot,Merlot,,1996,,,,,,750ml
086095090904,,Marylin Merlot,Merlot,,2000,39.95,,,,,750ml
086095101013,Nova Wines,Norma Jeane Wine,Merlot,California,1998,,,,,,750ml
086095121219,Nova Wines,Norma Jeane Wine,Merlot,California,2000,,,,,,750ml
086095141415,Nova Wines,Norma Jeane,Merlot,Napa,2002,,,,,,750ml
086095148704,Monticello Cellars,Corley Reserve,Cabernet Sauvignon,Napa Valley,1989,,,,,,
086095191915,Nova Wines,Norma Jean a Young Merlot,Merlot,California,2007,,,,,,750ml
086095333339,,Marilyn Merlot  Napa Valley,Merlot,Napa,2002,,,,http://www.marilynwines.com,,750ml
086095777775,Nova Wines,Marilyn Merlot,Merlot,Napa,2006,,,,,,750ml
086140000032,Mosby Winery,Pinot Grigio,Pinot Gris,South Coast,2007,18.00,,,,,750ml
086140000049,Mosby Winery,La Donna Vino Bianco,White Wine,Bay Area/Central Coast,NV,14.00,,,,,750ml
086140000056,Mosby Winery,La Seduzione,Red Wine,South Coast,2003,26.00,,,,,750ml
086140000070,Mosby,Cortese,White Wine,Bay Area/Central Coast,2007,18.00,,,,,750ml
086140000148,Mosby Vinery,Primitivo,Primitivo,South Coast,2003,20.00,,,,,750ml
086140000155,Mosby,,Sangiovese,Bay Area/Central Coast,2003,,,,,,750ml
086140000179,Mosby,,Dolcetto,Bay Area/Central Coast,2002,,,,,,750ml
086140280007,Lucca,Vino Rosso Di Santa Barbara,Red Wine,California,nv,,,,,,750ml
086142750416,,Melini Chianti Riserva,Chianti,,,,,,,,750ml
086173410013,,Mt Palomar Sangiovese Castelto,Sangiovese,,,,,,,,750ml
086208922849,Egri Bikaver,,Red Wine,Hungary,1996,7,,,http://www.egervin.hu/,,
086208925505,Schloss Biebrich,Sekt Sparkling Wine,Sparkling Wine,Germany,2003,6.00,,,,,750ml
086208934194,,Dr. Beckermann,White Wine,Germany,2002,,,,,,750ml
086208934408,Beckermann,Liebfraumilch,,Germany,2004,5,,,,,750ml
086266000060,Haut-Vigneau,,Bordeaux,Graves/Pessac-Leognan,2001,15,,,,,
086318990103,Olympic Cellars,Dungeness White,Riesling,Washington,2001,,,,,,750ml
086368630530,Sauvion-LeCleray-Vallet,Cler Blanc,White Bordeaux,France,,5.99,,,,,
086368649037,Sauvion,Chinon,Cabernet Franc,France,2003,,,,,,750ml
086452375200,Oak Knoll Winery,Fambrosia Lot 90,Oregon Raspberry Wine,Willamette Valley,NV,,,,,,375ml
086452750052,Oak Knoll Winery,Oak Knoll Pinot Noir Wine,Pinot Noir,Willamette Valley,2005,,,,,,
086452750151,Oak Knoll Winery,Oregon Chardonnay,Chardonnay,Willamette Valley,1998,,,,,,750ml
086466152005,Bell Mountain,Dry Riesling,Riesling,Taxas Hill country,2005,11.5,,,,"Fruity and ""off-dry"" with a crisp finish.  Typical of a Rhine Valley dry (trocken) wine. ",750ml
0864661800006,Bell Mountain,Rose of Cabernet,Rose,Taxas Hill country,2005,12,,,,,750ml
