UPC,Winery,Wine,Varietal,Region,Year,Price,Quantity,Rating,URL,Notes,Size
000000000857,Far Niente,Far Niente Cabernet Sauvignon ,Cabernet Sauvignon,Napa,1997,85.00,,86,,"Dark ruby-colored with purple nuances, this compressed, tightly-knit, austere Cabernet Sauvignon offers up straightforward aromas of black currant fruit, loamy earth, and new oak. Firm, with high tannin, medium body, and moderate concentration, it requires cellaring. Will it ever shed enough tannin to become harmonious? It is a gamble. Anticipated maturity: 2002-2012? ",750ml
0000000083898,Niebaum Coppola,,Cabernet Sauvignon Blend,Napa,1999,87,,,,,750ml
000000016759,Vineyard 29,Aida,Cabernet Sauvignon,Napa,2001,45,,WS 88,,,750ml
000000016957,Anderson's Conn Valley Vineyards,Esate Reserve,Cabernet Sauvignon,Napa,2003,25,,,,,750ml
000000022125,Chiarello,Eileen,Cabernet Sauvignon,Napa,2004,,,93,,,750ml
0000000268073,Heathcote Winery,,Shiraz,Australia,2003,20,,,,,750ml
000000029353,Chateau Les Tours Seguy,,Bordeaux,France,2000,7.99,,,,,750ml
0000000306737,Au Bon Climat,Au Bon Climat,Pinot Noir,Bay Area/Central Coast,2000,,,,,,
000000033305,Behrens & Hitchcock,,Merlot,Napa,1997,,,,,,750ml
0000000602006,Behrens & Hitchcock,St. Croix,Red,Napa,2003,,,,,,750ml
000000070669,Chateau Guibot,La Fourvielle,Bordeaux,France,2000,13.99,,,,,750ml
000000073455,Clos de la Vieille Eglise ,Clos l' Eglise,Bordeaux,"Pomerol, Bordeaux",2000,24.99,,86-87,,"There is a lot going on in this wine in terms of a velvety texture, excellent concentration, and a saturatedruby/purple color. However, the overlay of new oak is excessive, and the wine has an international style rather than one that could be quickly identified as a Pomerol. Nevertheless, it is cleanly made and very good, if somewhat oaky. Anticipated maturity: 2003-2012. ",750ml
000000079037,Frederic Esmonin,Griottes Chambertin,Pinot Noir,Burgundy,1996,60,,,,,750ml
000000085830,Chateau Robin,Cotes de Castillon,Bordeaux,Bordeaux,2000,,,,,,750ml
000000093309,Hatcher Winerworks,A to Z,Pinot Noir,Oregon,2001,14.99,,,,,750ml
000000124225,Kilikanoon Wines,Killerman's Run Sybarites,Sauvignon Blanc,New Zealand,2002,18,,,,,
000000143394,Canto Perdrix,Rose,Gamay,Tavel,2003,25.00,,,,,750ml
000000174473,Rias Baixas,Pazo Senorans Albarino,White Wine,Spain,2003,,,,,,750ml
000000174787,Joachim Heger,Trocken Qualitätswein B. A.,Pinot Gris,"Baden, Germany",2001,15.79,,,,From Central Market,750ml
000000195829,Silver Oak,Cabernet Sauvignon,Cabernet Sauvignon,Napa,1992,135,,,,"dark ruby-red to garnet color. It has the classic Silver Oak nose of cassis, blackberry jam, violets, chocolate, roasted coffee and ginger. This wine is full and rich in the mouth with a very long, slightly tannic finish",750ml
000000195881,Chateau Moulin de Tricot,,Bordeaux,Bordeaux,2002,,,,,,750ml
000000216463,,La Gaffeliere St Emilion,Bordeaux,St.-Emilion,1999,54.,,,,,
000000218214,,Lynch Moussas Pauillac,Bordeaux,Bordeaux,2002,34.,,,,,750ml
000000270786,Skouras,Cuvee Larsinos,Voignier,Peloponnese,2002,15.75,,,,,750ml
000000356237,Fisher Vineyards,Coach Insignia,Cabernet Sauvignon Blend,Napa,2001,,,,,,750ml
000000628655,Origin,Paramount,Cabernet Sauvignon,Napa,2002,45,,WS 92,,,750ml
000000633543,Chiarello,Bambino,Cabernet Sauvignon,Napa,2004,,,91 WS,,,750ml
000000639637,Domaine,Domaine Les Aphillanthes Cotes Du Rhone Villages,,Cotes-du-Rhone,2000,15,,,,,
0000006500991,"Buchignani, Saini, Faloni",Mauritson Growers Reserve,,Dry Creek Valley,2003,,,,,,750ml
000000650212,Chateau Grand-Pontet,,Bordeaux,St.-Emilion,1998,,,WS 91,,,
000000767668,Chateau Clinet,,Cabernet Sauvignon Blend,Pomerol,1999,0,,,http://www.chateauclinet.com,,750ml
000000856614,Torbreck,Torbreck Barossa Valley,White Blend,Barossa Valley,2002,30.99,,,http://www.torbreck.com,,750ml
000000949392,,Gary Farrell,Zinfandel,Sonoma,2002,1,,,,,750ml
000000965521,Behrens & Hitchcock,Arcuturs,Cabernet Sauvignon Blend,Napa,2001,,,,,,750ml
000000991056,,Limerick Lane,Syrah,Sonoma,2000,,,,,,750ml
000001000001,Dashe Cellars,Merlot Potter Valley,Merlot,California,2003,28.35,,,,,750ml
000001010862,Sinskey,Four Vineyards Pinot Noir,Pinot Noir,Napa,1998,,,1,,,750ml
000001025460,Curvare,Curvare,Pinot Noir,Carneros,2001,19.99,,,www.curvare.com,,750ml
000001066050,,Chateau Barde-Haut,Bordeaux,St.-Emilion,2000,,,88,,,750ml
000001112290,,Carruades de Lafite,Red Wine,Pauillac,1998,$26,,88,,,750ml
000002004402,Antinori,Guado Al Tasso Tenuta Belvedere,Red Wine,Tuscany,1995,,,,,,750ml
000002020026,Domaine de la Mordoree,,Rhone,Chateauneuf-du-Pape,1997,,,,,,750ml
000002028422,Az. Agr. Bruno Soria,Cascina del Santuario,Moscato d'Asti,Piedmont,2001,,,,,,750ml
000002068206,Fattoria di Felsina,Berardenga,Sangiovese,Chianti,1996,,,,,,750ml
000002892054,Duckhorn Vinyards,Napa Valley Merlot,Merlot,Napa,1999,,,88,,,750ml
000004000587,Goldeneye Winery,,Pinot Noir,Oregon,2002,59.00,,,,,750ml
000004062929,Sassetti Livio,Brunello Di Montalcino,Sangiovese,Brunello di Montalcino,1999,73.00,,,,Madeleine Valentines Day 2006,750ml
000004077183,Grgich Hills,,Cabernet Sauvignon,Napa,1997,120,,,,,
000004090410,,Cour-Cheverny,,Loire,2005,,,,,,
000004109242,,Chateau Ferrand Lartigue,Bordeaux,St.-Emilion,1998,45,,92,,,750ml
000004113829,Flowers,Flowers,Pinot Noir,Sonoma,2003,,,,,,750ml
000004114079,,Chateau Beau-Sejour Becot,Bordeaux,St.-Emilion,1998,54,,,,,750ml
000004115830,Chateau Lynch Bages,Grand Cru Classe,Bordeaux,Pauillac,1996,400?,,,,,3.0l
000004123507,domaine g roumier,,Rhone,Burgundy,2000,24.99,,,,,750ml
000004125303,Chateau Haut-Bergeron,Sauternes,Sauternes,Bordeaux,2000,24.99,,,,,
000004125419,Chateau Fontebride,Sauternes,Sauternes,Barsac/Sauternes,2000,24.99,,,,,750ml
000004129554,Sandrone Luciano,Dolcetto D'Alba,Dolcetto,Barolo,2004,20,,,http://www.sandroneluciano.com/uk/home.html,,750ml
000004130215,San Romano ,Dolcetto di Dogliano ,DOLCETTO,St.-Emilion,2003,20,,90,,,750ml
000004132097,Château Troplong-Mondot,St.-Emilion Grand Cru,Bordeaux,St.-Emilion,1998,49.99,,WS 93,,"Intense aromas of ripe berries, tobacco and toasted oak with mineral. Full-bodied, with well-integrated, superfine tannins and a long, long finish. Extremely sexy, yet elegant. Best after 2008. 6,665 cases made. ",750ml
000004135401,Moret-Nomine,,Chardonnay,Burgundy,2002,19.99,,,,,750ml
000004143819,Casa Vinicola Bruno Giacosa,Roero Arneis,White Wine,Piedmont,2006,18,,,,,750ml
000004143956,Bodegas Alto Moncayo SA,Alto Moncayo,Garnacha,Spain,2003,,,,,,
000004146292,Vercesi Del Castellazzo,Pezzalunga,Red,Italy Oltrepo Pavese,2006,,,,,,750ml
000004156581,Jordan,Alexander Valley,Cabernet Sauvignon,California,1995,200,,,,,1.5l
000004177753,Chateau La Pointe,Pomerol,Bordeaux,France,2000,,,,,,
000004177760,Chateau La louviere,Pessac-Leognan,Bordeaux,France,2000,,,,,,
000004202691,Shea Wine Cellars,Homer Cuvee,Pinot Noir,Oregon,2001,70.00,,,,,750ml
000004202806,Etude,,Pinot Noir,Carneros,2000,40.00,,,,,750ml
000004208877,Chateau Montelena,Montelena Estate,Cabernet Sauvignon,Mendocino/Lake,1998,100,,,,,750ml
000004208884,Joh. Jos. Christoffel Erben,Urziger Wurzgarten Riesling Auslese,Riesling,Germany,2001,40,,WS90,,,750ml
000004210078,Martinelli,,Pinot Noir,Russiun River Valley,2001,,,,,,750ml
000004213918,Mara,Dolinsek Ranch Reserve,Zinfandel,Russian River Valley,2003,40.00,,,,,750ml
000004220213,Patz & Hall,,Pinot Noir,Sonoma,2003,36.00,,,,,750ml
000004220237,W. H. Smith,,Pinot Noir,South Coast,2002,29.00,,,,,750ml
000004221364,J. Rochioli Vineyards,,Pinot Noir,Russian River Valley,2003,60.00,,,,,750ml
000004224204,Ken Wright Cellars,Pinot Noir Willamette Valley Elton Vineyard,Pinot Noir,Oregon,2001,50,,,,,750ml
000004239680,Carlton Cellars,Road's End,Pinot Noir,Oregon,2001,39,,85,,"Light, charming and refreshing for its pure berry flavors, which linger on the lean finish. Drink now through 2005. 412 cases made. (HS)",
000004241621,Emrich-Schönleber,Monzinger Frühlingsplätzchen Riesling Spatlese,Riesling,Germany,2002,24.99,,,,11.98,
000004320630,Clarendon Hills,Liandra Shiraz,Shiraz,Australia,1997,65.00,,,,Gift from Damon,750ml
000004361145,Carlton Cellars,Roads End,Pinot Noir,Oregon,2004,44.00,,,,,750ml
000004367307,Broadley,,Pinot Noir,Oregon,2005,21.00,,,,,750ml
000004405559,O'Reilly's,,Pinot Noir,Oregon,2005,15,,87,,,750ml
000004413165,Dominus,Napanook,Cabernet Sauvignon Blend,Napa,1997,40,,91,,,750ml
000004538226,Lancaster Vineyards,Lancaster Estate,Cabernet Sauvignon Blend,Sonoma,1999,70,,,www.lancaster-reserve.com,,750ml
000004555711,Domaine de Ferrand,,Red Wine,Chateauneuf-du-Pape,2003,40.00,,,,,750ml
000004556466,Long Meadow Ranch Winery,Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,Napa,1999,160,,,www.longmeadowranch.com,,1.5l
000004560180,Sineann,,Pinot Noir,Oregon,2008,30.00,,,,,750ml
000004561224,Mis en bouteille au Chateau,Chateau La Nerthe,Rhone,Chateauneuf-du-Pape,2000,100,,,,,1.5l
000004568353,Kilikanoon,Covenant,Shiraz,Clare Valley,2003,40.00,,,,,750ml
000004570936,Fantino,Vigna dei Dardi,Red Wine,Barolo,1997,50.00,,,,,750ml
000004575085,Ca del Baio,Asili,Red Wine,Barbaresco,2000,35.00,,,,,750ml
000004587644,Ojai Vineyard,Melville Vineyard,Syrah,St. Rita Hills,2002,70.00,,,,,750ml
000004590934,Domaine Ponsot,Cuvee des Grives,Pinot Noir,Morey Saint Denis,2001,30.00,,,,,750ml
000004599746,Monticello Vinyards,Monticello Vineyards Estate Grown Pinot Noir,Pinot Noir,Napa,2006,38.00,,,,,750ml
000004607908,Orin Swift,The Prisoner,Red Wine,Napa,2008,36.00,,90 RP,,,750ml
000004609254,Domaine Besson,Le Petit Pretan,Pinot Noir,Burgundy,2005,36.00,,,,,750ml
000004639701,Corly Family,,Cabernet Sauvignon,Napa,2005,42.00,,87 WS,,,750ml
000004697497,,Sybarite,Sauvignon Blanc,California,2007,,,,,,750ml
000007162909,Gigondas,Le Mas des Collines,Rhone,Gigondas,1999,17,,,,"89 points: After reading the 7/31/04 Wine Spectator review that gave this wine a 78-point rating, I wasn't expecting much from this. Molesworth must have had a bad bottle. This was a very pleasant wine. Dark red with just a hint of lightening at the edges. Medium bodied with berry, leather and garrigues balanced by adequate tannins and acidity. This should drink well for at least another three or four years. Seattle Winesquire: 89 points: After reading the 7/31/04 Wine Spectator review that gave this wine a 78-point rating, I wasn't expecting much from this. Molesworth must have had a bad bottle. This was a very pleasant wine. Dark red with just a hint of lightening at the edges. Medium bodied with berry, leather and garrigues balanced by adequate tannins and acidity. This should drink well for at least another three or four years.",
000009234901,Verget,Verget Bourgogne Grend Elevage,Bougogne,France,2004,25.99,,,,,750ml
000010000007,Medici,Willamette Valley Reserve,Pinot Noir,Oregon,1998,38,,,,,750ml
000011000006,Harlequin,Hoodview Vineyard,Pinot Noir,Oregon,2000,34,,,,Oregon Pinot Club April World Class Selection,750ml
000012000005,Adea,Willamette Valley,Pinot Noir,Oregon,1999,38,,,,Oregon Pinot Club Selection,750ml
000013000004,Hammacher,Willamette Valley,Pinot Noir,Oregon,1999,42,,93RP,,,750ml
000020000011,Chouinard,Lodi Old Vine,Zinfandel,Sierra Foothills,1998,15,,,,,750ml
0000200000172,Spottswoode,Napa Valley,Cabernet Sauvignon,Napa,1995,55,,93WS,,WS Cellar Selection,750ml
0000200000202,Cadence,Ciel du Cheval Vineyard Red Mtn.,Cabernet Sauvignon Blend,Washington,1999,35,,92WS,,,750ml
0000200000226,Rafanelli,Dry Creek,Cabernet Sauvignon,Sonoma,1995,25,,,,,750ml
000020000028,Airlie,Dunn Forest,Pinot Noir,Oregon,1998,20,,,,,750ml
000020000035,Andrew Rich,Cuvee B,Pinot Noir,Oregon,1999,18,,18.5CC,,,750ml
000020000042,Beaux Freres,Beaux Freres Vineyard,Pinot Noir,Oregon,1999,64,,94WS,,,750ml
000020000059,Patricia Green Cellars,Yamhill County Estate,Pinot Noir,Oregon,2000,25,,90WS,,,750ml
000020000066,Chehalem,3 Vineyards,Pinot Noir,Oregon,1999,35,,,,,750ml
000020000073,Chehalem,Rion Reserve,Pinot Noir,Oregon,1999,49,,93+RP,,,750ml
000020000080,Lemelson,Thea's Selection,Pinot Noir,Oregon,1999,30,,90WS/88RP,,,750ml
000020000097,Chateau La Lagune,Haut-Medoc,Bordeaux,Bordeaux,1986,26,,89WS,,,750ml
000020000103,Clos de L'Oratoire,,Bordeaux,St.-Emilion,1996,24,,87WS,,,750ml
000020000127,Fleur de Rouzes,,Bordeaux,Pomerol,1998,20,,,,,750ml
000020000134,Chateau Ducru-Beaucaillou,,Bordeaux,St.-Julien,1998,52,,88WS,,,750ml
000020000141,Chateau Grand Mayne,,Bordeaux,St.-Emilion,1998,45,,93WS,,,750ml
000020000158,Bookwalter,Columbia Valley,Cabernet Sauvignon,Washington,1998,35,,91WS,,,750ml
000020000165,Silver Oak,Alexander Valley,Cabernet Sauvignon,Sonoma,1994,45,,89WS,,,750ml
000020000189,Dominique Laurent,Cote de Nuits,Pinot Noir,Cote de Nuits,1996,20,,,,,750ml
000020000196,Seven Hills,Columbia Valley,Cabernet Sauvignon,Washington,1999,20,,,,,750ml
000020000219,Academy,Emeritus,Cabernet Sauvignon,Oregon,1999,25,,,,,750ml
000020000233,Tudal,Napa Estate,Cabernet Sauvignon,Napa,1997,20,,,,,750ml
000020000240,Bookwalter,Columbia Valley,Merlot,Washington,1999,25,,90WS,,,750ml
000020000257,Eugene Wine Cellars,Willamette Valley,Mellon,Oregon,1999,15,,outst./WPNW,,,750ml
000020000264,Domaine LeMoyne,Helmick Hill Vineyard,Pinot Gris,Oregon,2000,15,,outst./WPNW,,,750ml
000020000271,Clerc Milon,,Bordeaux,Pauillac,1998,70,,88WS,,,1.5l
000020000288,Chateau Rieussec,,Sauternes,Barsac/Sauternes,1998,35,,90-94,,,750ml
000020000295,Chateau D'Armhailhac,,Bordeaux,Pauillac,1999,24,,90WS/RP90+,,,750ml
000020000301,Carruades de Lafite Rothschild,,Bordeaux,Pauillac,1996,35,,87WS,,,750ml
000020000318,Chambers,Muscat Rutherglen Rosewood Vineyards,Dessert Wine,Australia,NV,13,,92WS,,,375ml
000020000325,Chambers,Tokay Rutherglen Rosewood Vineyards,Dessert Wine,Australia,NV,13,,90WS,,,375ml
000020000332,Chateau d'Issan,,Bordeaux,Margaux,1999,24,,87WS,,,750ml
000020000349,Domaine du Pesquier,Gigondas,Rhone,Gigondas,1999,18,,94WS,,,750ml
000020000356,Lisini,Brunello di Montepulciano,Sangiovese,Tuscany,1997,40,,95WS,,,750ml
000020000363,Altesino,Brunello di Montepulciano Montosoli,Sangiovese,Tuscany,1997,90,,98WS,,,750ml
000020000370,Siro Pacenti,Brunello di Montepulciano,Sangiovese,Tuscany,1997,70,,97WS,,,750ml
000020000400,Loimer,Qualitätswein Kamptal Langenloiser Steinmassl,Riesling,Austria,1997,32,,89WS,,,750ml
000020000417,Gros Frère & Soeur,Vosne-Romanée,Pinot Noir,Cote de Nuits,1999,35,,88WS,,,750ml
000020000424,Hirsch,Qualitätswein Trocken Kamptal Zöbinger Heiligenstein,Riesling,Austria,1999,20,,90WS,,,750ml
000020000431,Prager,Smaragd Trocken Wachau Feinburgunder,Pinot Blanc,Austria,1996,31,,85,,,750ml
000020000448,Erich Salomon,Qualitätswein Trocken Kremstal Kremser Kögl Reserve,Riesling,Austria,1997,40,,87WS,,,750ml
000020000455,Heidi Schröck,Furmint Ruster Ausbruch Neusiedlersee-Hügelland,Dessert Wine,Austria,1998,51,,88WS,,,750ml
000020000462,Dr. Bürklin-Wolf,Auslese Pfalz Wachenheimer Rechbächel 'R',Riesling,Austria,1990,33,,90,,,750ml
000020000486,"Bellefont Belcier, Chateau",,Bordeaux,St.-Emilion,1998,25,,,,,750ml
000020000493,"Marc Morey, Domaine de",,Chardonnay,Bordeaux,2000,35,,,,,750ml
000020000509,Dr. Crusius,Nahe Auslese,Riesling,Austria,1998,35,,,,,750ml
000020000516,Mathern,Dellchen Auslese,Riesling,Austria,1998,35,,,,,750ml
000020000523,Filipo Gallino,Roero Superiore,Nebbiolo,Italy,1997,25,,,,,750ml
000020000547,Ciacci Piccolomini ,d'Aragona Brunello di Montalcino Vigna di Pianrosso,Sangiovese,Tuscany,1997,65,,97,,,750ml
000020000554,Ciacci Piccolomini,d'Aragona Brunello di Montalcino Vigna di Pianrosso,Sangiovese,Tuscany,1997,65,,97,,,750ml
000020000561,La Jota,Howell Mountain 10th Anniversary,Cabernet Sauvignon,Napa,1991,75,,90WS,,Spectator Selection,750ml
000020000578,Paradigm,Napa Valley,Cabernet Sauvignon,Napa,1991,50,,90,,,750ml
000020000585,"Grand Mayne, Chateau",St.-Emilion,Bordeaux,St.-Emilion,1996,25,,79WS/88RP,,,750ml
000020000592,Pavie Decesse,St.-Emilion,Bordeaux,St.-Emilion,1997,50,,90WS/89RP,,,750ml
000020000608,Christom,Mt. Jefferson Cuvee,Pinot Noir,Oregon,2000,42,,,,,750ml
000020000615,Cristom,Willamette Valley Germaine Vineyard,Chardonnay,Oregon,2000,22,,,,,750ml
000020000622,Cristom,Columbia Valley Celilo Vineyard,Chardonnay,Washington,2000,21,,,,,750ml
000020000639,Von Schubert,Kabinett Mosel-Saar-Ruwer Maximin Grünhäuser Abtsberg,Riesling,Germany,1999,24,,87WS,,,750ml
000020000646,"Troplong-Mondot, Château",St.-Emilion,Bordeaux,St.-Emilion,1996,46,,88WS,,,750ml
000020000653,St. Veran,"Vigne de St. Claude, Verget   ",White Bordeaux,Bordeaux,2000,15,,90RP,,"The beautifully defined 2000 St.-Veran Vignes de St.-Claude reveals candied lemons and minerals in both its aromas and flavor profile. Loaded with fruit and highly detailed, this medium-bodied, vivacious wine should be consumed over the next 7 years",750ml
000020000660,Falesco,Montiano,Merlot,Tuscany,1999,45,,95RP,,"RP: The profound, dense ruby/purple-colored 1999 Montiano (2,500 cases of 100% Merlot aged in 100% new French oak, and bottled unfined and unfiltered) offers a smorgasbord of aromas, including melted chocolate, espresso, blackberries, cherries, currants, and smoke. Full-bodied, with terrific purity, a multilayered texture, and surprising freshness for a wine of such depth, it can be drunk young, or cellared for 10-15 years. For technicians who care about such things, it has a whopping 37 grams per liter of dry extract.",750ml
000020000677,Vire Clesse,"V.V. de Roally, Verget   ",Chardonnay,Burgundy,1999,12,,89WA,,"Rovani: ""The 1999 Vire Clesse Vieilles Vignes de Roally exhibits ripe, exotic, and pear aromas. This rich, opulent, medium-bodied wine has excellent depth to its pear, apple, and underlying mineral flavors. Hints of gravel and stones come out oin its fresh and long finish. ",750ml
000020000684,Castello Banfi,Brunello di Montepulciano,Sangiovese,Tuscany,1997,50,,WS94,,,750ml
000020000691,San Ferecolo,,Dolcetto,Tuscany,1999,11,,3glasses,,,750ml
000020000707,Mas des Chimeres,Coteaux du Languedoc,Rhone,Languedoc-Roussillon,1998,19,,94WS,,,750ml
000020000714,"Janasse,  Domaine de la ",Châteauneuf-du-Pape Chaupin,Rhone,Cotes-du-Rhone,1998,36,,90WS/93RP,,,750ml
000020000721,Voge,Cornas VV,Syrah,Rhone,1999,33,,95WS,,,750ml
000020000738,Dominique Laurent,Volnay Santenots,Pinot Noir,Cote de Beaune,1999,55,,90-93 ST,,,750ml
000020000745,Boillot,Volnay Chevret,Pinot Noir,Cote de Beaune,1999,65,,92ST/90WA,,,750ml
000020000752,Tollot Beaut,Beaune Clos du Roi,Pinot Noir,Cote de Beaune,1999,45,,91WS,,,750ml
000020000769,Charlopin,Gevrey-Chambertin Cuvée Vieilles Vignes,Pinot Noir,Burgundy,1999,35,,90WS,,,750ml
000020000776,Bouchard,Beaune Grèves Vigne de l'Enfant Jésus,Pinot Noir,Cote de Beaune,1999,72,,91+ST/90WS,,,750ml
000020000783,Potel,Vosne Romanee Suchots,Pinot Noir,Cote de Nuits,1999,55,,,,,750ml
000020000790,Laurent,Beaune Hospices,Pinot Noir,Cote de Beaune,1997,55,,,,,750ml
000020000806,Laurent,Auxey Hospices,Pinot Noir,Cote de Beaune,1996,50,,,,,750ml
000020000813,Arnoux,Nuits Corvees Pagets,Pinot Noir,Cote de Nuits,1992,60,,,,,750ml
000020000837,O'Reilly's,Willamette Valey,Pinot Gris,,2001,12,,,,,750ml
000020000851,Pavie,,Bordeaux,St.-Emilion,1998,100,,99RP/88WS,,RP: Best wine of best St. Emilion vintage of the decade,750ml
000020000868,Gallina,Roero Superiore ,Red Wine,Piedmont,1998,25,,,,"NCWC: These rich, dark Piedmont reds (nebbiolo and barbera) have been Gambero Rosso 3-glass winners. Very impressive. ",750ml
000020000875,Monbousquet,,Bordeaux,St.-Emilion,1998,51,,WS93/RP94,,,750ml
000020000882,St. Clement,,Cabernet Sauvignon,Napa,1995,26,,WS90,,,750ml
000020000899,Ostertag,Barriques,Pinot Gris,Alsace,1998,15,,ST86,,,750ml
000020000905,Rapet,Pernand Vergelesses,Pinot Noir,Burgundy,1996,,,,,,750ml
000020000912,Zind-Humbrecht,Pinot de Alsace,Pinot Gris,Alsace,1995,28,,WS88,,,750ml
000020000929,clerc milon,,Bordeaux,Pauillac,1986,45,,WS97,,,750ml
000020001001,San Leonardo,Vallagarina,Bordeaux,Northeast,1997,45,,95WS,,,750ml
000020001018,Roty,Gevrey Clos Prior,Pinot Noir,Burgundy,1998,35,,90+ST,,,750ml
000020001025,Roty,Gevrey Fontenys,Pinot Noir,Burgundy,1998,55,,92ST,,,750ml
000020001032,Torbreck,The Steading,Shiraz,Australia,1998,50,,96RP/88WS,,,750ml
000020001049,Rivetti,Barbera d'Asti,Barbera,Italy,1999,40,,94RP,,,750ml
000020001056,Ambroise,Niuts Rue de Chaux,Pinot Noir,Cote de Nuits,1989,40,,91WS,,,750ml
000020001063,Lynch-Bages,Pauillac,Bordeaux,Pauillac,1994,45,,89WS,,,750ml
000020001070,Boillot,Les Chevrettes Volnay,Pinot Noir,Burgundy,1999,69,,92ST,,,750ml
000020001087,"Bosquets, Domaine de",Gigondas Preference,Rhone,Gigondas,1999,26,,91-94RP,,,750ml
000020001094,Chevillon,Nuits Perrieres,Pinot Noir,Burgundy,1997,25 (42),,86ST,,,750ml
000020001100,Mugneret,Vosne Romanee,Pinot Noir,Burgundy,1999,20(33),,89ST/79WS,,,750ml
000020001117,Grivot,Clos Vougeot,Pinot Noir,Burgundy,1998,40(88),,88+ST,,,750ml
000020001124,Christom,Marjorie,Pinot Noir,Oregon,1997,20,,,,,750ml
000020001131,Evesham Wood,Le Puits Sec,Pinot Noir,Oregon,1998,20,,87+ST,,,750ml
000020001148,Panther Creek,Bednarik,Pinot Noir,Oregon,1998,20(47),,87WS,,,750ml
000020001155,Panther Creek,Shea,Pinot Noir,Oregon,1998,20(47),,90WS,,,750ml
000020001162,Verget,Chablis Fourchaume,Chardonnay,Chablis,1999,20(33),,87-90ST,,,750ml
000020001179,St. Innocent,Seven Springs,Pinot Noir,Oregon,1999,35,,93+WA,,,750ml
000020001186,St. Innocent,Shea,Pinot Noir,Oregon,1999,35,,92WA,,,750ml
000020001193,Hanna,,Sauvignon Blanc,California,2000,11,,,,,750ml
000020001209,Nozzole,Chianti Classico Reserva,Sangiovese,Chianti,1997,15,,84WS,,,750ml
000020001216,"Lascaux, Chateau de",Languedoc Cavalier,Bordeaux,Languedoc-Roussillon,1999,10,,90WS,,,750ml
000020001223,Zind Humbrect,Pinot d'Alcase,Pinot Blanc,Alsace,1998,25,,88WS,,,750ml
000020001230,Zind Humbrect,Pinot d'Alcase,Pinot Blanc,Alsace,1999,25,,90WS,,,750ml
000020001247,Rivetti/La Spinetta,Barbera d'Asti,Barbera,Barbaresco,1999,40,,94WA,,,750ml
000020001254,Carmel Road,,Chardonnay,Bay Area/Central Coast,1999,28,,94RP,,,750ml
000020001261,Argyle,Reserve,Pinot Noir,Oregon,1999,30,,91WS,,,750ml
000020001278,Roty,Gevery Brunell,Pinot Noir,Burgundy,1999,33,,89+ST,,,750ml
000020001285,Belle Pente,Willamette Valley,Riesling,Oregon,2000,20,,,,,750ml
000020001292,Grand Puy Lacoste,,Bordeaux,Pauillac,1996,60,,96RP,,,750ml
000020001308,Spottswoode,Napa Estate,Cabernet Sauvignon,Napa,1999,65,,,,,750ml
000020001315,Maurodos,San Roman,Red Wine,Spain,1998,28,,93ST,,,750ml
000020001902,Fox Creek,Reserve Sharaz,Syrah,Australia,1999,$35 ($120),,91WS,,Look for high RP rating based on recent mark up,750ml
000020001919,Frescobaldi,Castelgiocondo Brunello,Sangiovese,Brunello di Montalcino,1997,$40,,96WS/91ST,,,750ml
000020001926,Girardin,Corton Charlemagne,Chardonnay,Burgundy,2000,$46,,91-94ST,,look for RP/WS rating,750ml
000020001933,Argiano,Brunello,Sangiovese,Brunello di Montalcino,1997,$42,,91WS/96ST,,,750ml
000020001940,Fevre,Chablis les Clos,Chablis,Chablis,2000,$40,,95ST/94WS,,,750ml
000020001957,Coudoulet de Beaucastel,,Red Wine,Rhone,1999,$10,,90RP,,,750ml
000020001964,Damoy,Chambertin,Pinot Noir,Cote de Nuits,1998,$80,,97WS,,,750ml
000020001971,Charbonniere,Chateauneuf Mourre de Perdrix,Rhone,Chateauneuf-du-Pape,1999,$17,,90RP,,,750ml
000020001988,Brunel,Chateauneuf les Cailloux,Rhone,Chateauneuf-du-Pape,1999,$15,,93WS?,,check ratings,750ml
000020001995,Leroy,Puligny Champ Gain,Chardonnay,Burgundy,1978,$25($100+),,,,,750ml
000020002008,Hartford,Hartford Vineyard,Zinfandel,Sonoma,1997,$24,,92WS,,,750ml
000020002015,Soumade,Rasteau Cuvee Confiance,Rhone,Rhone,1999,$18,,92-94RP,,,750ml
000020002022,Tardieu Laurent,St. Joseph V.V.,Pinot Noir,Burgundy,1999,$27,,91-93RP,,,750ml
000020002039,Carmel Road,,Chardonnay,Bay Area/Central Coast,1999,$28,,94RP,,,750ml
000020002046,Abadia Retuerta,Cuvee Palomar,Cabernet Sauvignon Blend,Spain,1996,$25,,92RP,,,750ml
000020002053,Falesco,,Merlot,Italy,2000,$10,,,,,750ml
000020002060,Laurent,Volnay Santenots,Pinot Noir,Burgundy,1999,$40,,90-93ST,,,750ml
000020002077,Chateau Ste. Michelle,Reserve,Cabernet Sauvignon,Washington,1998,32,,92WS,,,750ml
000020002084,Cristom,Reserve,Pinot Noir,Oregon,2000,30,,,,,750ml
000020002091,Cristom,Mt Jefferson Cuvee,Pinot Noir,Oregon,2000,26,,,,,750ml
000020002138,Banfi,Sant'Antimo Excelsus,Red Wine,Tuscany,1997,50,,93WS,,,750ml
000020002145,Spanos Berberian,,Cabernet Sauvignon,Napa,1995,30,,,,,750ml
000020002152,Tardieu Laurent,Les Bec Fins,Rhone,Cotes-du-Rhone,2000,13,,90RP,,,750ml
